Date,MKT
2024-12-31,5881.62988281
2025-01-31,6040.52978516
2025-02-28,5954.50000000
2025-03-31,5611.85009766
2025-04-30,5569.06005859
2025-05-31,5911.68994141
2025-06-30,6204.95019531
2025-07-31,6339.39013672
2025-08-31,6460.25976562
2025-09-30,6688.45996094
