Ticker,ME,PB,ROE,RevGrowth
MMM,85300641792,18.38269,0.72920996,0.035
AOS,9492377600,5.1136107,0.28209,0.044
ABT,216756764672,4.250077,0.3062,0.069
ABBV,404359905280,-153.03679,1.37961,0.091
ACN,167914995712,5.3979106,0.25016,0.06
ADBE,149496561664,12.643778,0.55426,0.105
AMD,349866131456,5.7552223,0.05317,0.356
AES,9898480640,2.5612676,0.05106,0.019
AFL,59216543744,2.0289536,0.1558,0.607
A,39225118720,5.8097835,0.20618999,0.094
APD,54483787776,3.6261685,-0.01923,-0.006
ABNB,83564044288,9.638444,0.30776,0.097
AKAM,12837095424,2.7110045,0.10642,0.05
ALB,17266227200,2.2246485,0.00209,-0.035
ARE,8307700224,0.492102,-0.01084,-0.05
ALGN,11362962432,2.8536062,0.095769994,0.018
ALLE,13818451968,7.0985985,0.36411,0.107
LNT,16775324672,2.2957857,0.11461,0.119
ALL,55217541120,2.1526752,0.34469002,0.038
GOOGL,3807445516288,9.813317,0.3545,0.159
GOOG,3810836348928,9.854836,0.3545,0.159
MO,98693595136,-37.27792,,-0.017
AMZN,2481626808320,6.71177,0.24327,0.134
AMCR,19090137088,1.6266719,0.07467,0.713
AEE,26873669632,2.1028235,0.11387,0.248
AEP,61635833856,2.0276814,0.12923001,0.109
AXP,265959227392,8.123233,0.33935001,0.122
AIG,47971188736,1.1475561,0.07688,-0.041
AMT,81714520064,20.67409,0.28839,0.077
AWK,25519370240,2.339082,0.10457,0.097
AMP,46983065600,7.1902814,0.59589,0.073
AME,48167755776,4.5608816,0.14632,0.108
AMGN,178500943872,18.557352,0.8171,0.124
APH,167842496512,13.4010935,0.34807998,0.534
ADI,135501987840,4.007096,0.06573,0.259
AON,76735037440,9.646526,0.3769,0.074
APA,8715678720,1.4524208,0.27427998,-0.164
APO,86117294080,3.961181,0.16549,0.264
AAPL,4041928343552,54.57022,1.7142199,0.079
AMAT,207310274560,10.108376,0.35508,-0.035
APTV,16628139008,1.78149,0.03294,0.074
ACGL,36187439104,1.5494511,0.17811,0.082
ADM,27618342912,1.2263407,0.05242,0.022
ANET,165369331712,13.887479,0.31736,0.275
AJG,66435452928,2.8628342,0.090670004,0.2
AIZ,12173285376,2.1030014,0.15413,0.089
T,174898429952,1.5706671,0.19139999,0.016
ATO,27172046848,2.0017874,0.09323,0.121
ADSK,63384539136,21.807121,0.40333998,0.18
ADP,104110030848,16.32607,0.70572996,0.071
AZO,57609064448,-17.792213,,0.082
AVB,25862453248,2.151801,0.09754,0.044
AVY,14007471104,6.3559203,0.30211002,0.015
AXON,46949011456,15.399568,0.10028,0.306
BKR,44592312320,2.4550443,0.1689,0.015
BALL,14214336512,2.5864117,0.117469996,0.096
BAC,414566842368,1.4747964,0.09871,0.126
BAX,9731076096,1.3436015,-0.04658,0.05
BDX,55847849984,2.1994784,0.06544,0.083
BRK-B,1079767662592,0.001031396,0.1017,0.021
BBY,14618846208,5.5077972,0.22493,0.024
TECH,9231902720,4.694185,0.038,-0.01
BIIB,25646491648,1.4085438,0.09307,0.028
BLK,168579235840,3.0359042,0.120740004,0.252
BX,190390452224,14.471181,0.26457,-0.196
XYZ,39586385920,1.7578431,0.14692001,0.023
BK,82668331008,2.093663,0.121520005,0.1
BA,169809002496,-19.953074,,0.304
BKNG,176286121984,-37.10381,,0.127
BSX,142447837184,6.088582,0.12488,0.203
BMY,110500675584,5.9569793,0.33777002,0.028
AVGO,1656221728768,5.8985834,0.31048,0.164
BR,26539177984,10.069088,0.38215,0.117
BRO,27300005888,2.1755455,0.10695,0.342
BF-B,12339899392,3.0238364,0.20666,-0.054
BLDR,11356625920,2.6305003,0.13555999,-0.069
BG,17122120704,1.08617,0.09758,0.716
BXP,12170482688,2.1797676,-0.01883,0.018
CHRW,19444197376,10.495472,0.34318,-0.109
CDNS,86360252416,16.593193,0.21736,0.101
CZR,5083313152,1.3247331,-0.04259,-0.002
CPT,11518724096,2.5765433,0.059310004,0.021
CPB,8252356096,2.0844944,0.14815,-0.034
COF,158344495104,1.4520206,0.01615,0.679
CAH,49270083584,-17.142265,,0.224
KMX,5500750848,0.9070322,0.07459,-0.067
CCL,41537921024,3.3813949,0.25632998,0.066
CARR,45393559552,3.102606,0.0998,-0.068
CAT,272851484672,13.193937,0.46283,0.095
CBOE,26659235840,5.456999,0.21621001,0.081
CBRE,48760614912,5.6269107,0.14091,0.135
CDW,18104731648,7.0873737,0.43007,0.04
COR,66072223744,43.80015,1.23751,0.059
CNC,19464112128,0.9289669,-0.2186,0.215
CNP,24789409792,2.2464797,0.09606,0.071
CF,12656567296,2.5410557,0.21967,0.211
CRL,9984343040,2.9318593,-0.021879999,-0.005
SCHW,183663886336,4.241459,0.17046,0.266
CHTR,28039399424,1.7317507,0.31327,-0.009
CVX,303250898944,1.5963472,0.07316,-0.014
CMG,50672046080,15.55144,0.44958,0.075
CB,124909666304,1.7193218,0.1364,0.091
CHD,20767641600,4.846779,0.18594,0.05
CI,73125691392,1.7457656,0.15538,0.095
CINF,25924081664,1.6786828,0.14529,0.122
CTAS,76826066944,17.11183,0.43396,0.093
CSCO,308264370176,6.55465,0.22418,0.075
C,219803222016,1.1013846,0.06995,0.116
CFG,25669578752,1.0825511,0.067140006,0.136
CLX,11884548096,-538.2873,4.43646,-0.189
CME,99356057600,3.51715,0.13346,-0.03
CMS,21308469248,2.4661007,0.11233,0.16
KO,300697223168,9.619992,0.42442,0.051
CTSH,41601564672,2.7617288,0.14501001,0.074
