Symbol,ExpRet,LastRet,Beta,Sector,Weight,Side,Beta_Contribution
NVDA,0.052405771286495616,-0.03248191368501353,1.613723640042274,Unknown,0.0027641400365964177,Long,0.004460558121442956
SMCI,0.04035306734700751,-0.07188772903859104,1.2451482046296405,Unknown,0.0027641400365964177,Long,0.0034417640039129385
PWR,0.0356898154775677,-0.08967166160254035,1.0299417798794006,Unknown,0.0027641400365964177,Long,0.002846903309128026
AXON,0.03472549853432483,-0.08828652902538194,0.9451721390731216,Unknown,0.0027641400365964177,Long,0.0026125881510874927
VST,0.034000945840703435,-0.151282079458657,1.170187521654481,Unknown,0.0027641400365964177,Long,0.0032345621789306887
TSLA,0.033747217086244105,0.15359072915244557,2.088956779347116,Unknown,0.0027641400365964177,Long,0.0057741690685128725
EQT,0.03364804231041265,0.01543491718764771,0.8476715694829682,Unknown,0.0027641400365964177,Long,0.0023430829230923944
BLDR,0.03276820642829417,-0.26933535954688836,2.102755558259431,Unknown,0.0027641400365964177,Long,0.005812310825760544
ANET,0.03218341471642444,0.08225166436910505,1.0347096247240648,Unknown,0.0027641400365964177,Long,0.002860082299951442
TPL,0.03147918275938944,-0.37276604949143255,1.6952440196069876,Unknown,0.0027641400365964177,Long,0.004685891866396317
URI,0.030307816894143844,-0.20802268609426236,1.581283565029047,Unknown,0.0027641400365964177,Long,0.004370889211308704
EME,0.02982115123368929,-0.12018904053532793,1.0625814361212795,Unknown,0.0027641400365964177,Long,0.0029371238897269478
TRGP,0.029778914704522423,-0.13842084424278772,2.679456090504813,Unknown,0.0027641400365964177,Long,0.007406391856066469
DECK,0.02932753773620908,0.03231868803914144,1.0606025291731238,Unknown,0.0027641400365964177,Long,0.0029316539138028517
AVGO,0.029168244459952565,0.3545374484032694,1.0638704869028084,Unknown,0.0027641400365964177,Long,0.0029406870066013774
LLY,0.029068632017680136,-0.03156286044925068,0.3858418356460421,Unknown,0.0027641400365964177,Long,0.0010665208657030798
FICO,0.028594787118505043,-0.17982812153342456,1.3356498120300275,Unknown,0.0027641400365964177,Long,0.0036919231203046787
CRWD,0.02788160518846806,-0.01449352844521392,1.0503826800951497,Unknown,0.0027641400365964177,Long,0.0029034048197984505
