Ticker,ME,PB,ROE,RevGrowth,BM_proxy,Size,Value,Profitability,Investment
A,39225118720,5.8097835,0.20618999,0.094,0.1721234534815282,Big,Low,Robust,Aggressive
AAPL,4041928343552,54.57022,1.7142199,0.079,0.01832501316652196,Big,Low,Robust,Aggressive
ABBV,404359905280,-153.03679,1.37961,0.091,-0.006534376472480899,Big,Low,Robust,Aggressive
ABNB,83564044288,9.638444,0.30776,0.097,0.10375118639481642,Big,Low,Robust,Aggressive
ABT,216756764672,4.250077,0.3062,0.069,0.23528985474851397,Big,Low,Robust,Conservative
ACGL,36187439104,1.5494511,0.17811,0.082,0.6453898416026166,Small,High,Robust,Aggressive
ACN,167914995712,5.3979106,0.25016,0.06,0.18525686586954587,Big,Low,Robust,Conservative
ADBE,149496561664,12.643778,0.55426,0.105,0.07909028456526207,Big,Low,Robust,Aggressive
ADI,135501987840,4.007096,0.06573,0.259,0.24955728537574345,Big,Low,Weak,Aggressive
ADM,27618342912,1.2263407,0.05242,0.022,0.8154340796158849,Small,High,Weak,Conservative
ADP,104110030848,16.32607,0.70572996,0.071,0.06125172806437801,Big,Low,Robust,Conservative
ADSK,63384539136,21.807121,0.40333998,0.18,0.04585658051789597,Big,Low,Robust,Aggressive
AEE,26873669632,2.1028235,0.11387,0.248,0.4755510864321233,Small,High,Weak,Aggressive
AEP,61635833856,2.0276814,0.12923001,0.109,0.49317412488963996,Big,High,Weak,Aggressive
AES,9898480640,2.5612676,0.05106,0.019,0.39043167531576944,Small,High,Weak,Conservative
AFL,59216543744,2.0289536,0.1558,0.607,0.4928648935096397,Big,High,Robust,Aggressive
AIG,47971188736,1.1475561,0.07688,-0.041,0.8714170923757016,Big,High,Weak,Conservative
AIZ,12173285376,2.1030014,0.15413,0.089,0.47551085795758385,Small,High,Robust,Aggressive
AJG,66435452928,2.8628342,0.090670004,0.2,0.3493041965196587,Big,High,Weak,Aggressive
AKAM,12837095424,2.7110045,0.10642,0.05,0.3688669642562379,Small,High,Weak,Conservative
ALB,17266227200,2.2246485,0.00209,-0.035,0.44950921460176746,Small,High,Weak,Conservative
ALGN,11362962432,2.8536062,0.095769994,0.018,0.3504337774427319,Small,High,Weak,Conservative
ALL,55217541120,2.1526752,0.34469002,0.038,0.46453826383097646,Big,High,Robust,Conservative
ALLE,13818451968,7.0985985,0.36411,0.107,0.14087287793498957,Small,Low,Robust,Aggressive
AMAT,207310274560,10.108376,0.35508,-0.035,0.09892785943063456,Big,Low,Robust,Conservative
AMCR,19090137088,1.6266719,0.07467,0.713,0.6147521205720711,Small,High,Weak,Aggressive
AMD,349866131456,5.7552223,0.05317,0.356,0.17375523444159577,Big,Low,Weak,Aggressive
AME,48167755776,4.5608816,0.14632,0.108,0.21925585614851303,Big,Low,Weak,Aggressive
AMGN,178500943872,18.557352,0.8171,0.124,0.053886998532980346,Big,Low,Robust,Aggressive
AMP,46983065600,7.1902814,0.59589,0.073,0.13907661527683743,Big,Low,Robust,Conservative
AMT,81714520064,20.67409,0.28839,0.077,0.04836972268186895,Big,Low,Robust,Aggressive
AMZN,2481626808320,6.71177,0.24327,0.134,0.14899199466012691,Big,Low,Robust,Aggressive
ANET,165369331712,13.887479,0.31736,0.275,0.07200730960601272,Big,Low,Robust,Aggressive
AON,76735037440,9.646526,0.3769,0.074,0.10366426213955159,Big,Low,Robust,Aggressive
AOS,9492377600,5.1136107,0.28209,0.044,0.1955565369886292,Small,Low,Robust,Conservative
APA,8715678720,1.4524208,0.27427998,-0.164,0.6885057002763937,Small,High,Robust,Conservative
APD,54483787776,3.6261685,-0.01923,-0.006,0.27577317490899833,Big,High,Weak,Conservative
APH,167842496512,13.4010935,0.34807998,0.534,0.07462077628217428,Big,Low,Robust,Aggressive
APO,86117294080,3.961181,0.16549,0.264,0.2524499637860527,Big,Low,Robust,Aggressive
APTV,16628139008,1.78149,0.03294,0.074,0.5613278772263667,Small,High,Weak,Aggressive
ARE,8307700224,0.492102,-0.01084,-0.05,2.032099036378637,Small,High,Weak,Conservative
ATO,27172046848,2.0017874,0.09323,0.121,0.4995535489932647,Small,High,Weak,Aggressive
AVB,25862453248,2.151801,0.09754,0.044,0.46472698915931354,Small,High,Weak,Conservative
AVGO,1656221728768,5.8985834,0.31048,0.164,0.16953223039959053,Big,Low,Robust,Aggressive
AVY,14007471104,6.3559203,0.30211002,0.015,0.15733362798775183,Small,Low,Robust,Conservative
AWK,25519370240,2.339082,0.10457,0.097,0.4275181460077073,Small,High,Weak,Aggressive
AXON,46949011456,15.399568,0.10028,0.306,0.06493688654123285,Big,Low,Weak,Aggressive
AXP,265959227392,8.123233,0.33935001,0.122,0.12310369528979409,Big,Low,Robust,Aggressive
AZO,57609064448,-17.792213,,0.082,-0.056204363110985686,Big,Low,Weak,Aggressive
BA,169809002496,-19.953074,,0.304,-0.050117590903536964,Big,Low,Weak,Aggressive
BAC,414566842368,1.4747964,0.09871,0.126,0.6780596969181645,Big,High,Weak,Aggressive
BALL,14214336512,2.5864117,0.117469996,0.096,0.3866360487002127,Small,High,Weak,Aggressive
BAX,9731076096,1.3436015,-0.04658,0.05,0.7442682968127083,Small,High,Weak,Conservative
BBY,14618846208,5.5077972,0.22493,0.024,0.18156078804063447,Small,Low,Robust,Conservative
BDX,55847849984,2.1994784,0.06544,0.083,0.4546532486975094,Big,High,Weak,Aggressive
BEN,12612441088,1.0433921,0.03818,0.06,0.958412470249679,Small,High,Weak,Conservative
BF-B,12339899392,3.0238364,0.20666,-0.054,0.33070572204236975,Small,High,Robust,Conservative
BG,17122120704,1.08617,0.09758,0.716,0.9206661940580203,Small,High,Weak,Aggressive
BIIB,25646491648,1.4085438,0.09307,0.028,0.7099530735217464,Small,High,Weak,Conservative
BK,82668331008,2.093663,0.121520005,0.1,0.47763178696858094,Big,High,Weak,Aggressive
BKNG,176286121984,-37.10381,,0.127,-0.026951410111252724,Big,Low,Weak,Aggressive
BKR,44592312320,2.4550443,0.1689,0.015,0.4073246254660252,Big,High,Robust,Conservative
BLDR,11356625920,2.6305003,0.13555999,-0.069,0.3801558205486614,Small,High,Weak,Conservative
BLK,168579235840,3.0359042,0.120740004,0.252,0.32939115799503815,Big,High,Weak,Aggressive
BMY,110500675584,5.9569793,0.33777002,0.028,0.16787031642027025,Big,Low,Robust,Conservative
BR,26539177984,10.069088,0.38215,0.117,0.09931386040125977,Small,Low,Robust,Aggressive
BRK-B,1079767662592,0.001031396,0.1017,0.021,969.5597035474251,Big,High,Weak,Conservative
BRO,27300005888,2.1755455,0.10695,0.342,0.45965483139745866,Small,High,Weak,Aggressive
BSX,142447837184,6.088582,0.12488,0.203,0.16424185467158034,Big,Low,Weak,Aggressive
BX,190390452224,14.471181,0.26457,-0.196,0.06910286036778893,Big,Low,Robust,Conservative
BXP,12170482688,2.1797676,-0.01883,0.018,0.45876450315162043,Small,High,Weak,Conservative
C,219803222016,1.1013846,0.06995,0.116,0.907948050118006,Big,High,Weak,Aggressive
CAG,8122713600,1.0039614,-0.0116,-0.068,0.9960542307702269,Small,High,Weak,Conservative
CAH,49270083584,-17.142265,,0.224,-0.058335348333490356,Big,Low,Weak,Aggressive
CARR,45393559552,3.102606,0.0998,-0.068,0.3223096970740081,Big,High,Weak,Conservative
CAT,272851484672,13.193937,0.46283,0.095,0.07579238857969384,Big,Low,Robust,Aggressive
CB,124909666304,1.7193218,0.1364,0.091,0.5816246848030427,Big,High,Weak,Aggressive
CBOE,26659235840,5.456999,0.21621001,0.081,0.18325090402252228,Small,Low,Robust,Aggressive
CBRE,48760614912,5.6269107,0.14091,0.135,0.1777174107277018,Big,Low,Weak,Aggressive
CCI,38069575680,-25.472029,-2.06679,-0.043,-0.03925874927356592,Small,Low,Weak,Conservative
CCL,41537921024,3.3813949,0.25632998,0.066,0.29573594021804434,Big,High,Robust,Conservative
CDNS,86360252416,16.593193,0.21736,0.101,0.060265676413213544,Big,Low,Robust,Aggressive
CDW,18104731648,7.0873737,0.43007,0.04,0.14109598877225848,Small,Low,Robust,Conservative
CEG,112881500160,7.863034,0.19839,0.003,0.12717737199152387,Big,Low,Robust,Conservative
CF,12656567296,2.5410557,0.21967,0.211,0.3935372215571662,Small,High,Robust,Aggressive
CFG,25669578752,1.0825511,0.067140006,0.136,0.9237439230351342,Small,High,Weak,Aggressive
CHD,20767641600,4.846779,0.18594,0.05,0.20632259073500153,Small,Low,Robust,Conservative
CHRW,19444197376,10.495472,0.34318,-0.109,0.0952791832515965,Small,Low,Robust,Conservative
CHTR,28039399424,1.7317507,0.31327,-0.009,0.5774503223818532,Small,High,Robust,Conservative
CI,73125691392,1.7457656,0.15538,0.095,0.5728145863339271,Big,High,Robust,Aggressive
CINF,25924081664,1.6786828,0.14529,0.122,0.5957051564476624,Small,High,Weak,Aggressive
CL,64601088000,75.26365,2.93635,0.019,0.013286626412617512,Big,Low,Robust,Conservative
CLX,11884548096,-538.2873,4.43646,-0.189,-0.0018577439965609445,Small,Low,Robust,Conservative
CMCSA,108477030400,1.1059664,0.24186,-0.027,0.9041866009672627,Big,High,Robust,Conservative
CME,99356057600,3.51715,0.13346,-0.03,0.28432111226419116,Big,High,Weak,Conservative
CMG,50672046080,15.55144,0.44958,0.075,0.0643027269500445,Big,Low,Robust,Aggressive
CMI,71377174528,5.916565,0.22767,-0.016,0.16901698874262347,Big,Low,Robust,Conservative
CMS,21308469248,2.4661007,0.11233,0.16,0.40549844537978513,Small,High,Weak,Aggressive
CNC,19464112128,0.9289669,-0.2186,0.215,1.076464618922375,Small,High,Weak,Aggressive
CNP,24789409792,2.2464797,0.09606,0.071,0.4451409020077056,Small,High,Weak,Conservative
COF,158344495104,1.4520206,0.01615,0.679,0.6886954634114695,Big,High,Weak,Aggressive
COIN,65338036224,4.0638,0.26005,0.589,0.2460751021211674,Big,Low,Robust,Aggressive
COO,16477283328,1.9706589,0.045939997,0.046,0.5074444897592374,Small,High,Weak,Conservative
COP,115814424576,1.7649746,0.15421,0.14,0.5665803915818393,Big,High,Robust,Aggressive
COR,66072223744,43.80015,1.23751,0.059,0.02283097204005009,Big,Low,Robust,Conservative
COST,379490598912,12.522193,0.30325,0.083,0.07985821652804745,Big,Low,Robust,Aggressive
CPAY,21874216960,5.3235145,0.29097,0.139,0.1878458300432919,Small,Low,Robust,Aggressive
CPB,8252356096,2.0844944,0.14815,-0.034,0.47973263924335796,Small,High,Weak,Conservative
CPRT,37897891840,3.9473684,0.18124,0.007,0.2533333346844444,Small,Low,Robust,Conservative
CPT,11518724096,2.5765433,0.059310004,0.021,0.3881169006552306,Small,High,Weak,Conservative
